江西频道,#genre#
CCTV3(4M),http://39.137.49.76:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV3(8M),http://39.137.49.76:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV-4,http://39.137.49.76:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV5(4M),http://39.137.49.76:8080/PLTV/88888910/224/3221225648/index.m3u8
CCTV5(8M),http://39.137.49.76:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV5PLUS,http://39.137.49.76:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV6(4M),http://39.137.49.76:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV6(8M),http://39.137.49.76:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV-7,http://39.137.49.76:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV-7高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225644/index.m3u8
CCTV8(4M),http://39.137.49.76:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV8(8M),http://39.137.49.76:8080/PLTV/88888910/224/3221225631/index.m3u8
CCTV-9(英),http://39.137.49.76:8080/PLTV/88888910/224/3221225645/index.m3u8
CCTV-9,http://39.137.49.76:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV-9高清,http://39.137.49.76:8080/PLTV/88888910/224/3221225646/index.m3u8
CCTV-10,http://39.137.49.76:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV-10高清,http://39.137.49.76:8080/PLTV/88888910/224/3221225636/index.m3u8
CCTV-11,http://39.137.49.76:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV-12,http://39.137.49.76:8080/PLTV/88888910/224/3221225629/index.m3u8
CCTV-12高清,http://39.137.49.76:8080/PLTV/88888910/224/3221225637/index.m3u8
CCTV-13,http://39.137.49.76:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV-14,http://39.137.49.76:8080/PLTV/88888910/224/3221225639/index.m3u8
CCTV-14高清,http://39.137.49.76:8080/PLTV/88888910/224/3221225640/index.m3u8
CCTV-15,http://39.137.49.76:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV-16高清,http://39.137.49.76:8080/PLTV/88888910/224/3221226230/index.m3u8
CCTV17农业农村高清,http://39.137.49.76:8080/PLTV/88888910/224/3221225908/index.m3u8
CCTV-3综艺[高清],http://39.137.49.76:8080/PLTV/88888888/224/3221226256/615272046.smil/index.m3u8
CCTV5PLUS高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225706/index.m3u8
CCTV-5体育[高清],http://39.137.49.76:8080/PLTV/88888888/224/3221226259/615270782.smil/index.m3u8
CCTV-6电影[高清],http://39.137.49.76:8080/PLTV/88888888/224/3221226255/615273516.smil/index.m3u8
CCTV-8电视剧[高清],http://39.137.49.76:8080/PLTV/88888888/224/3221226258/615273606.smil/index.m3u8



卫视频道(电信),#genre#
湖南卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225697/iptv8039.smil
浙江卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225768/10000100000000060000000000913518_0.smil
江苏卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225766/10000100000000060000000000913517_0.smil
东方卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225770/10000100000000060000000000913526_0.smil
北京卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225546/iptv51912.smil
广东卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225957/10000100000000060000000000913519_0.smil
深圳卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225764/10000100000000060000000000913503_0.smil
湖北卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225827/10000100000000060000000000470332_2.smil
天津卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221226652/46098366.smil
安徽卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221226622/51176344.smil
辽宁卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221226649/46098370.smil
